iter	MAE
0	0.1824972498
1	0.1817929544
2	0.1813582878
3	0.1808313903
4	0.1801945483
5	0.1796488168
6	0.1792959501
7	0.1789275753
8	0.1784572821
9	0.1780629023
10	0.1776062366
11	0.1771113131
12	0.1767223796
13	0.176226776
14	0.1757435113
15	0.1754205505
16	0.1751666672
17	0.174806307
18	0.1744916926
19	0.1741826044
20	0.1737102673
21	0.1733579907
22	0.1729995773
23	0.1724648131
24	0.1720381495
25	0.1716188369
26	0.1714391485
27	0.1711573168
28	0.1708647457
29	0.170600798
30	0.170436281
31	0.1700850784
32	0.1698526175
33	0.1695785121
34	0.1692653171
35	0.1689965462
36	0.1687926869
37	0.1685356782
38	0.1681817177
39	0.1679123056
40	0.1677380671
41	0.1675787113
42	0.167464431
43	0.1672239579
44	0.1670469903
45	0.1666254312
46	0.166476013
47	0.1662972329
48	0.1660469174
49	0.1658764949
50	0.1656383594
51	0.1653912429
52	0.1652596973
53	0.1649764095
54	0.1646938129
55	0.1644665301
56	0.164289857
57	0.1640624546
58	0.1638774438
59	0.1637316722
60	0.163590174
61	0.1634833521
62	0.163306702
63	0.1630157859
64	0.1628538723
65	0.1627172684
66	0.1625526676
67	0.1621724332
68	0.162058655
69	0.1618597128
70	0.1617146885
71	0.1613812745
72	0.1611778031
73	0.1608228498
74	0.1604833409
75	0.1603196241
76	0.1600758984
77	0.159834585
78	0.1597068621
79	0.1595325383
80	0.1594408347
81	0.1592820073
82	0.1591055073
83	0.1589484575
84	0.158705
85	0.1585350845
86	0.1583675647
87	0.158230117
88	0.1579503595
89	0.1577147784
90	0.1576849444
91	0.1574508973
92	0.1573767589
93	0.157212441
94	0.1569536888
95	0.1567495422
96	0.1565458421
97	0.1564231073
98	0.1562298996
99	0.1561341052
100	0.1559473238
101	0.1556424222
102	0.1555386371
103	0.1554210056
104	0.1551430871
105	0.1550112071
106	0.1549345487
107	0.1548078786
108	0.1547527913
109	0.154629594
110	0.1544541042
111	0.1543674581
112	0.1542321997
113	0.1541257987
114	0.1539761815
115	0.1538400727
116	0.1536328063
117	0.153486936
118	0.1533795783
119	0.1532715422
120	0.153188494
121	0.1530889489
122	0.1529419195
123	0.1528308681
124	0.1526855085
125	0.1526094625
126	0.1524871806
127	0.1523695619
128	0.1523082131
129	0.1521932533
130	0.1520339465
131	0.1518637864
132	0.1517566278
133	0.1516016876
134	0.1515246376
135	0.1514112871
136	0.1513627126
137	0.1512304317
138	0.151136277
139	0.1510578979
140	0.150926801
141	0.1508208838
142	0.1507121063
143	0.1506305953
144	0.1504253314
145	0.1503271286
146	0.1501896148
147	0.1499476718
148	0.1497984312
149	0.1496630825
150	0.1495763255
151	0.1493913472
152	0.1493023989
153	0.1492466093
154	0.1491066191
155	0.1489457961
156	0.1487191738
157	0.1486289968
158	0.1485630334
159	0.1483363917
160	0.1482148006
161	0.1479880605
162	0.1478751332
163	0.1477749271
164	0.1476271089
165	0.1474973105
166	0.1473670172
167	0.1472466398
168	0.1471490109
169	0.147061267
170	0.1469230124
171	0.1467703362
172	0.1466224243
173	0.1465222769
174	0.1464468078
175	0.1463798171
176	0.1462841487
177	0.146221414
178	0.146153852
179	0.1460401481
180	0.1459580807
181	0.1459098282
182	0.1458111036
183	0.1457309095
184	0.1456477438
185	0.1455230208
186	0.1453999574
187	0.1452979658
188	0.1452208783
189	0.1451625203
190	0.1450869594
191	0.1449500125
192	0.1448344483
193	0.144767486
194	0.1446341897
195	0.1445291266
196	0.1444260801
197	0.1443520142
198	0.1441838209
199	0.1440916971
200	0.1439636334
201	0.1438654307
202	0.1437733421
203	0.1436306871
204	0.1435379023
205	0.1434195892
206	0.1433365207
207	0.1432314932
208	0.1431691998
209	0.1430539482
210	0.1430055736
211	0.1429317678
212	0.1428657813
213	0.1427608823
214	0.1426127761
215	0.1425215961
216	0.1424134806
217	0.1422927214
218	0.1422193366
219	0.1420338937
220	0.141891798
221	0.1417947639
222	0.1416763481
223	0.1415687875
224	0.1414532956
225	0.1413612737
226	0.141232752
227	0.141199261
228	0.1411732851
229	0.1411174827
230	0.1409948913
231	0.140928513
232	0.1408284614
233	0.1407607501
234	0.1407083171
235	0.1406190478
236	0.1404977377
237	0.1403903027
238	0.140287139
239	0.1401812733
240	0.1400977196
241	0.1399866399
242	0.1398319934
243	0.1396956752
244	0.1395827139
245	0.1395046751
246	0.139386367
247	0.139212393
248	0.1391080843
249	0.1389961151
250	0.138874917
251	0.1388176723
252	0.1387573109
253	0.1386549068
254	0.1385467844
255	0.1385455397
256	0.1384718065
257	0.1384198332
258	0.1383310639
259	0.1382336216
