iter	Passed	Remaining
0	10	2505
1	12	1502
2	14	1136
3	15	954
4	17	852
5	19	777
6	21	729
7	23	685
8	24	652
9	26	626
10	28	607
11	30	595
12	32	581
13	34	568
14	36	557
15	38	548
16	39	536
17	41	526
18	43	515
19	45	509
20	47	510
21	49	504
22	51	498
23	53	498
24	55	491
25	57	487
26	59	482
27	61	478
28	63	472
29	63	459
30	65	456
31	67	452
32	69	449
33	71	444
34	73	440
35	74	436
36	76	433
37	78	429
38	80	427
39	82	424
40	84	421
41	87	424
42	89	422
43	91	420
44	93	418
45	95	415
46	97	411
47	98	407
48	100	404
49	102	401
50	105	402
51	107	399
52	109	397
53	110	394
54	112	391
55	114	387
56	115	384
57	117	380
58	119	377
59	120	374
60	122	372
61	124	369
62	126	366
63	127	363
64	129	360
65	131	357
66	133	355
67	134	353
68	136	351
69	138	348
70	140	345
71	141	342
72	143	339
73	145	337
74	146	334
75	148	331
76	150	330
77	152	327
78	154	326
79	156	324
80	158	322
81	160	320
82	162	318
83	164	316
84	165	314
85	167	311
86	169	309
87	171	307
88	172	304
89	174	302
90	176	300
91	178	298
92	180	296
93	182	294
94	183	291
95	185	289
96	187	287
97	189	285
98	191	283
99	193	282
100	194	279
101	196	277
102	198	275
103	200	273
104	202	271
105	204	269
106	205	267
107	207	264
108	209	263
109	211	261
110	212	259
111	214	256
112	216	254
113	217	252
114	219	250
115	221	248
116	223	246
117	225	244
118	227	242
119	229	240
120	231	239
121	233	237
122	234	234
123	236	232
124	238	230
125	239	228
126	241	226
127	243	224
128	245	222
129	246	220
130	248	218
131	250	216
132	251	213
133	253	211
134	254	209
135	256	207
136	258	205
137	260	203
138	262	201
139	264	200
140	265	198
141	267	196
142	269	194
143	271	192
144	273	190
145	275	188
146	278	187
147	279	185
148	282	183
149	283	181
150	285	179
151	287	177
152	289	175
153	291	173
154	292	171
155	294	170
156	296	168
157	298	166
158	300	164
159	301	162
160	303	160
161	305	158
162	307	156
163	309	154
164	310	152
165	312	150
166	314	148
167	315	146
168	317	144
169	319	142
170	321	141
171	323	139
172	325	137
173	326	135
174	328	133
175	330	131
176	332	129
177	334	127
178	336	125
179	338	124
180	340	122
181	341	120
182	343	118
183	345	116
184	347	114
185	349	112
186	351	110
187	352	108
188	355	107
189	358	105
190	359	103
191	361	101
192	363	99
193	365	98
194	367	96
195	369	94
196	372	92
197	374	90
198	376	88
199	382	87
200	384	86
201	387	84
202	390	82
203	392	80
204	396	79
205	400	77
206	402	75
207	403	73
208	407	72
209	410	70
210	412	68
211	415	66
212	417	64
213	419	62
214	421	60
215	422	58
216	425	56
217	427	54
218	429	52
219	431	51
220	433	49
221	435	47
222	437	45
223	439	43
224	442	41
225	444	39
226	446	37
227	448	35
228	450	33
229	451	31
230	453	29
231	456	27
232	458	25
233	459	23
234	461	21
235	463	19
236	465	17
237	467	15
238	469	13
239	471	11
240	473	9
241	474	7
242	477	5
243	479	3
244	480	1
245	482	0
